"Source:","C:\Users\Envy\Documents\GitHub\STM32Pico\STM32Pico.sch"
"Date:","18/09/2021 16:08:55"
"Tool:","Eeschema (5.1.10)-1"
"Component Count:","25"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","2.2uF 0402","Capacitor_SMD:C_0402_1005Metric","~","",""
"C2","100nf capacitor","Capacitor_SMD:C_0402_1005Metric","~","",""
"C3","100nf capacitor","Capacitor_SMD:C_0402_1005Metric","~","",""
"C4","100nf capacitor","Capacitor_SMD:C_0402_1005Metric","~","",""
"C5","100nf capacitor","Capacitor_SMD:C_0402_1005Metric","~","",""
"C6","1uf capacitor","Capacitor_SMD:C_0402_1005Metric","~","",""
"C7","1uf capacitor","Capacitor_SMD:C_0402_1005Metric","~","",""
"C8","100nf 0402","Capacitor_SMD:C_0402_1005Metric","~","",""
"C9","100nf 0402","Capacitor_SMD:C_0402_1005Metric","~","",""
"D1","1N4002 0603","Diode_SMD:D_0603_1608Metric","~","",""
"J1","2.54mm header 01x20","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","","",""
"J2","2.54mm header 01x20","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","","",""
"R1","5.1K 0402","Resistor_SMD:R_0402_1005Metric","~","",""
"R2","5.1K 0402","Resistor_SMD:R_0402_1005Metric","~","",""
"R3","22ohm","Resistor_SMD:R_0402_1005Metric","~","",""
"R4","22ohm","Resistor_SMD:R_0402_1005Metric","~","",""
"R5","1.5K 0402","Resistor_SMD:R_0402_1005Metric","~","",""
"R6","10K 0402","Resistor_SMD:R_0402_1005Metric","~","",""
"R7","100k 0402","Resistor_SMD:R_0402_1005Metric","~","",""
"SW1","Boot Mode","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","~","",""
"SW2","Reset Switch","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","~","",""
"U1","STM32F411CEUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00115249.pdf","",""
"U2","XC6206PxxxMR","Package_TO_SOT_SMD:SOT-23","https://www.torexsemi.com/file/xc6206/XC6206.pdf","",""
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C31-M-12:HRO-TYPE-C-31-M-12-Assembly","","",""
"X1","ECS-2520MV-xxx-xx","Oscillator:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","https://www.ecsxtal.com/store/pdf/ECS-2520MV.pdf","",""
