"Comment","Designator","Footprint","LCSC Part #"
"2.2uF 0402","C1","C_0402_1005Metric","no_part_number"
"100nf capacitor","C2,C3,C4,C5","C_0402_1005Metric","no_part_number"
"1uf capacitor","C7,C6","C_0402_1005Metric","no_part_number"
"100nf 0402","C8,C9","C_0402_1005Metric","no_part_number"
"Schottky 0603","D1","D_0603_1608Metric","no_part_number"
"2.54mm header 01x20","J2,J1","PinHeader_1x20_P2.54mm_Vertical","no_part_number"
"5.1K 0402","R1,R2","R_0402_1005Metric","no_part_number"
"22ohm","R3,R4","R_0402_1005Metric","no_part_number"
"1.5K 0402","R5","R_0402_1005Metric","no_part_number"
"10K 0402","R6","R_0402_1005Metric","no_part_number"
"100k 0402","R7","R_0402_1005Metric","no_part_number"
"Boot Mode","SW1","SW_Push_SPST_NO_Alps_SKRK","no_part_number"
"Reset Switch","SW2","SW_Push_SPST_NO_Alps_SKRK","no_part_number"
"STM32F411CEUx","U1","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","no_part_number"
"XC6206PxxxMR","U2","SOT-23","no_part_number"
"HRO-TYPE-C-31-M-12","USB1","HRO-TYPE-C-31-M-12-Assembly","no_part_number"
"ECS-2520MV-xxx-xx","X1","Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","no_part_number"
